trade,price_enter,price_exit,gross_return,enter_period,exit_period
282,139.95,139.92,0.9997856377277599,37192,37212
283,137.66,136.92,0.9946244370187418,37422,37442
284,136.71,136.84,1.0009509180016092,37494,37514
285,136.45,136.32,0.9990472700622939,37643,37663
286,135.41,134.79,0.9954213130492577,37742,37762
287,135.67,135.71,1.000294833050785,37857,37877
288,136.42,136.41,0.9999266969652544,37956,37976
289,137.12,137.08,0.9997082847141191,38116,38136
290,137.43,136.1844,0.990936476751801,38211,38228
291,129.37,129.44,1.0005410837133801,38524,38544
292,129.0,127.77929999999999,0.9905372093023255,38588,38593
293,128.82,128.72,0.9992237230243751,38883,38903
294,129.2,129.02,0.998606811145511,38966,38986
295,128.72,128.44,0.9978247358607831,39020,39040
296,129.37,128.69,0.9947437582128777,39052,39072
297,128.24,128.25,1.0000779787897691,39157,39177
298,129.05,128.52,0.9958930647036033,39304,39324
299,126.42,128.06,1.0129726309128302,39472,39492
300,129.7,129.9,1.0015420200462608,39592,39612
301,130.37,129.35,0.9921761141366878,39912,39932
302,129.93,130.4,1.003617332409759,39947,39967
303,129.84,129.8,0.9996919285274184,40052,40072
304,129.62,129.38,0.9981484338836598,40197,40217
305,129.01,128.48,0.9958917913340051,40302,40322
306,128.68,128.41,0.9979017718371153,40445,40465
307,129.16,129.47,1.0024001238773614,40485,40505
308,129.03,128.92,0.9991474850809888,40673,40693
309,124.96,125.81,1.006802176696543,41153,41173
310,126.49,126.72,1.0018183255593327,41399,41419
311,128.19,129.54,1.010531242686637,41572,41592
312,131.0,130.185,0.9937786259541985,41695,41712
313,130.78,130.31,0.996406178314727,41752,41772
314,130.4,130.44,1.0003067484662576,41872,41892
315,131.09,131.1,1.0000762834693722,41909,41929
316,133.32,133.3134,0.9999504950495051,41962,41972
317,131.64,131.96,1.0024308720753572,42128,42148
318,133.16,132.3927,0.9942377590868128,42196,42209
319,132.36,131.9,0.9965246297975219,42395,42415
320,132.17,133.27,1.0083226148142546,42466,42486
321,133.98,133.41,0.9957456336766682,42489,42509
322,134.69,133.75,0.9930210112109288,42544,42564
323,134.94,133.79850000000002,0.9915406847487774,42621,42637
324,132.08,132.83,1.0056783767413688,42714,42734
325,131.43,132.3,1.0066194932663777,43089,43109
326,131.91,131.97,1.0004548555833523,43181,43201
327,132.55,133.04,1.0036967182195395,43215,43235
328,132.71,132.77,1.000452113631226,43263,43283
329,132.28,132.43,1.0011339582703358,43479,43499
